Rank,Title,Studio,Female-lead,Passes Bechdel Test,POC-lead,Budget ($ millions),Total Gross ($ millions),Domestic ($ millions),Overseas ($ millions),Year
1,Avatar,Fox,FALSE,TRUE,FALSE,237,"2,847.4",760.5,"2,086.9",2009
2,Avengers: Endgame,Disney,FALSE,TRUE,FALSE,400,"2,797.5",858.4,"1,939.1",2019
3,Titanic,Paramount,FALSE,TRUE,FALSE,200,"2,201.6",659.4,"1,542.2",1997
4,Star Wars: Episode VII - The Force Awakens,Disney,TRUE,TRUE,FALSE,306,"2,069.5",936.7,"1,132.9",2015
5,Avengers: Infinity War,Disney,FALSE,TRUE,FALSE,300,"2,048.4",678.8,"1,369.6",2018
6,Spider-Man: No Way Home,Sony,FALSE,TRUE,FALSE,200,"1,901.2",804.8,"1,096.4",2021
7,Jurassic World,Universal,FALSE,TRUE,FALSE,215,"1,671.5",653.4,"1,018.1",2015
8,The Lion King (2019),Disney,FALSE,TRUE,TRUE,260,"1,663.3",543.6,"1,119.6",2019
9,The Avengers,Disney,FALSE,FALSE,FALSE,225,"1,518.8",623.4,895.4,2012
10,Furious 7,Universal,FALSE,TRUE,FALSE,190,"1,515.3",353.0,"1,162.3",2015
11,Frozen II,Disney,TRUE,TRUE,FALSE,150,"1,450.0",477.4,972.6,2019
12,Avengers: Age of Ultron,Disney,FALSE,TRUE,FALSE,365,"1,402.8",459.0,943.8,2015
13,Black Panther,Disney,FALSE,TRUE,TRUE,200,"1,347.6",700.4,647.2,2018
14,Harry Potter and the Deathly Hallows Part 2,WB,FALSE,TRUE,FALSE,125,"1,342.4",381.4,690.9,2011
15,Star Wars: Episode VIII - The Last Jedi,Disney,TRUE,TRUE,FALSE,200,"1,332.7",620.2,712.5,2017
16,Jurassic World: Fallen Kingdom,Universal,FALSE,TRUE,FALSE,170,"1,310.5",417.7,892.7,2018
17,Frozen,Disney,TRUE,TRUE,FALSE,150,"1,281.5",401.0,880.6,2013
18,Beauty and the Beast (2017),Disney,TRUE,TRUE,FALSE,160,"1,273.6",504.5,769.1,2017
19,Incredibles 2,Disney,FALSE,TRUE,FALSE,200,"1,243.1",608.6,634.5,2018
20,Top Gun: Maverick,Paramount,FALSE,TRUE,FALSE,170,"1,240.7",620.1,620.6,2022
21,The Fate of the Furious,Universal,FALSE,TRUE,FALSE,250,"1,236.0",226.0,"1,010.0",2017
22,Iron Man 3,Disney,FALSE,TRUE,FALSE,200,"1,214.8",409.0,805.8,2013
23,Minions,Universal,FALSE,TRUE,FALSE,74,"1,159.4",336.0,823.4,2015
24,Captain America: Civil War,Disney,FALSE,TRUE,FALSE,250,"1,153.3",408.1,745.2,2016
25,Aquaman,WB,FALSE,TRUE,TRUE,160,"1,148.5",335.1,813.4,2018
26,The Lord of the Rings: The Return of the King,New Line,FALSE,FALSE,FALSE,94,"1,146.4",378.3,768.2,2003
27,Spider-Man: Far From Home,Sony,FALSE,FALSE,FALSE,160,"1,131.9",390.5,741.4,2019
28,Captain Marvel,Disney,TRUE,TRUE,FALSE,175,"1,128.5",426.8,701.6,2019
29,Transformers: Dark of the Moon,Paramount,FALSE,TRUE,FALSE,195,"1,123.8",352.4,771.4,2011
30,Skyfall,Sony,FALSE,TRUE,FALSE,200,"1,108.6",304.4,804.2,2012
31,Transformers: Age of Extinction,Paramount,FALSE,TRUE,FALSE,210,"1,104.1",245.4,858.7,2014
32,Jurassic Park,Universal,FALSE,TRUE,FALSE,63,"1,099.7",404.2,695.5,1993
33,The Dark Knight Rises,WB,FALSE,FALSE,FALSE,230,"1,081.2",448.1,633.0,2012
34,Joker,WB,FALSE,TRUE,FALSE,55,"1,074.4",335.5,739.0,2019
35,Star Wars: Episode IX - The Rise of Skywalker,Disney,TRUE,TRUE,FALSE,275,"1,074.1",515.2,558.9,2019
36,Toy Story 4,Disney,FALSE,TRUE,FALSE,200,"1,073.4",434.0,639.4,2019
37,Toy Story 3,Disney,FALSE,TRUE,FALSE,200,"1,067.0",415.0,652.0,2010
38,Pirates of the Caribbean: Dead Man's Chest,Disney,FALSE,FALSE,FALSE,225,"1,066.2",423.3,642.9,2006
39,The Lion King (1994),Disney,FALSE,FALSE,FALSE,79.3,"1,063.6",422.8,640.8,1994
40,Rogue One: A Star Wars Story,Disney,TRUE,TRUE,FALSE,200,"1,056.1",532.2,523.9,2016
41,Aladdin,Disney,FALSE,TRUE,TRUE,182,"1,050.7",355.6,695.1,2019
42,Pirates of the Caribbean: On Stranger Tides,Disney,FALSE,FALSE,FALSE,379,"1,045.7",241.1,804.6,2011
43,Despicable Me 3,Universal,FALSE,TRUE,FALSE,75,"1,034.8",264.6,770.2,2017
44,Finding Dory,Disney,TRUE,TRUE,FALSE,200,"1,028.6",486.3,542.3,2016
45,Star Wars: Episode I - The Phantom Menace,Fox,FALSE,TRUE,FALSE,115,"1,027.1",474.5,552.6,1999
46,Alice in Wonderland (2010),Disney,TRUE,TRUE,FALSE,200,"1,025.5",334.2,691.3,2010
47,Zootopia,Disney,TRUE,TRUE,FALSE,150,"1,024.1",341.3,682.9,2016
48,Harry Potter and the Sorcerer's Stone,WB,FALSE,TRUE,FALSE,125,"1,022.3",318.9,703.4,2001
49,The Hobbit: An Unexpected Journey,New Line,FALSE,FALSE,FALSE,200,"1,017.0",303.0,714.0,2012
50,The Dark Knight,WB,FALSE,TRUE,FALSE,185,"1,006.1",535.0,411.1,2008
51,Harry Potter and the Deathly Hallows Part 1,WB,FALSE,TRUE,FALSE,125,977.1,296.4,680.7,2010
52,Despicable Me 2,Universal,FALSE,TRUE,FALSE,76,970.8,368.1,602.7,2013
53,The Jungle Book (2016),Disney,FALSE,FALSE,TRUE,175,966.6,364.0,602.6,2016
54,Jumanji: Welcome to the Jungle,Sony,FALSE,TRUE,TRUE,90,962.5,404.5,558.0,2017
