Treatment,Concentration,Exposed,Unsettled,Settled,SettlementRate
oil-only,0,789,430,359,45.50063371
oil-only,0,931,720,211,22.66380236
oil-only,0,954,560,394,41.29979036
oil-only,0,854,540,314,36.76814988
oil-only,0,1010,600,410,40.59405941
oil-only,0,919,510,409,44.50489663
oil-only,0,858,570,288,33.56643357
oil-only,0,779,500,279,35.81514763
oil-only,31.25,933,870,63,6.752411576
oil-only,31.25,817,760,57,6.976744186
oil-only,31.25,894,740,154,17.22595078
oil-only,31.25,791,620,171,21.6182048
oil-only,62.5,1160,1020,140,12.06896552
oil-only,62.5,971,910,61,6.282183316
oil-only,62.5,703,500,203,28.87624467
oil-only,62.5,881,770,111,12.59931896
oil-only,125,700,610,90,12.85714286
oil-only,125,920,810,110,11.95652174
oil-only,125,929,840,89,9.580193757
oil-only,125,682,600,82,12.02346041
oil-only,250,1070,970,100,9.345794393
oil-only,250,859,800,59,6.868451688
oil-only,250,1080,1000,80,7.407407407
oil-only,250,875,840,35,4
oil-only,500,1020,940,80,7.843137255
oil-only,500,856,780,76,8.878504673
oil-only,500,882,790,92,10.430839
oil-only,500,792,760,32,4.04040404
oil/dispersant,0,789,430,359,45.50063371
oil/dispersant,0,931,720,211,22.66380236
oil/dispersant,0,954,560,394,41.29979036
oil/dispersant,0,854,540,314,36.76814988
oil/dispersant,0,1010,600,410,40.59405941
oil/dispersant,0,919,510,409,44.50489663
oil/dispersant,0,858,570,288,33.56643357
oil/dispersant,0,779,500,279,35.81514763
oil/dispersant,31.25,1020,670,350,34.31372549
oil/dispersant,31.25,897,570,327,36.4548495
oil/dispersant,31.25,889,690,199,22.38470191
oil/dispersant,31.25,899,530,369,41.04560623
oil/dispersant,62.5,933,710,223,23.90139335
oil/dispersant,62.5,1090,790,300,27.52293578
oil/dispersant,62.5,883,720,163,18.45979615
oil/dispersant,62.5,724,520,204,28.17679558
oil/dispersant,125,790,650,140,17.72151899
oil/dispersant,125,849,640,209,24.6171967
oil/dispersant,125,1030,940,90,8.737864078
oil/dispersant,125,919,870,49,5.331882481
oil/dispersant,250,975,900,75,7.692307692
oil/dispersant,250,912,770,142,15.57017544
oil/dispersant,250,918,830,88,9.586056645
oil/dispersant,250,863,710,153,17.72885284
oil/dispersant,500,1130,1110,20,1.769911504
oil/dispersant,500,1100,990,110,10
oil/dispersant,500,1040,970,70,6.730769231
oil/dispersant,500,844,820,24,2.843601896
