Temp,TimeDarkMins,CO2Release
13.5,5,0.7575575576
13.5,15,0.758987559
13.5,22.5,0.7601029601
13.5,30,0.7612183612
13.5,37.5,0.7443157443
13.5,45,0.7454025454
13.5,52.5,0.7465751466
13.5,60,0.7387101387
13.5,67.5,0.7308165308
13.5,75,0.722951523
13.5,82.5,0.7150579151
13.5,90,0.7162019162
13.5,97.5,0.7082511083
13.5,105,0.7003289003
13.5,112.5,0.6924924925
13.5,120,0.6846274846
20,5,1.457988498
20,15,1.451586988
20,22.5,1.427370918
20,30,1.411545671
20,37.5,1.387253089
20,45,1.371619123
20,52.5,1.347364797
20,60,1.331769087
20,67.5,1.316096864
20,75,1.291842538
20,82.5,1.267664724
20,90,1.22624619
20,97.5,1.201915352
20,105,1.169078922
20,112.5,1.136242492
20,120,1.094823958
24,5,1.760551689
24,15,1.539812273
24,22.5,1.413319711
24,30,1.355660558
24,37.5,1.323670264
24,45,1.317540387
24,52.5,1.311921333
24,60,1.297490582
24,67.5,1.282804419
24,75,1.259625822
24,82.5,1.227954792
24,90,1.196092204
24,97.5,1.155545623
24,105,1.106570462
24,112.5,1.049039014
24,120,0.9739480238
27,5,1.621389043
27,15,1.483188331
27,22.5,1.397540152
27,30,1.329657543
27,37.5,1.279540504
27,45,1.229085202
27,52.5,1.169916246
27,60,1.110544333
27,67.5,1.060089031
27,75,0.9920711164
27,82.5,0.9328345082
27,90,0.8913634703
27,97.5,0.8411787787
27,105,0.7996400882
27,112.5,0.7670856617
27,120,0.7343282774
30,5,2.27409543
30,15,2.041714372
30,22.5,1.845529913
30,30,1.676630847
30,37.5,1.570868911
30,45,1.474087153
30,52.5,1.386423517
30,60,1.307671085
30,67.5,1.256135075
30,75,1.231746513
30,82.5,1.189397597
30,90,1.146841764
30,97.5,1.122591147
30,105,1.08929138
30,112.5,1.055922641
30,120,1.004317658
