state,region,population 2010,population 2020 census,population trend,% bachelors or higher,% high school or higher,%home owners,number of households,number of  housing units,land area (sq miles),% non english at home,mean commute time (minutes),median household income ($US),per capita income ($US),veterans,% female,% older than 65,% under 18,% under 5,% in poverty,poverty rate
Alabama,Southeast,4779736,"5,024,279",increasing,22.6,83.1,69.7,1838683,2207912,50645.33,5.2,24.2,43253,23680,388865,51.5,15.3,22.8,6.1,18.6,high
Alaska,West,710231,"733,391",increasing,27.5,91.6,63.8,251899,308583,570640.95,16.2,18.8,70760,32651,71004,47.4,9.4,25.3,7.4,9.9,low
Arizona,Southwest,6392017,"7,151,502",increasing,26.9,85.7,64.4,2370289,2909218,113594.08,26.8,24.6,49774,25358,522382,50.3,15.9,24.1,6.4,17.9,medium
Arkansas,Southeast,2915918,"3,011,524",increasing,20.1,83.7,66.7,1129723,1341033,52035.48,7.2,21.3,40768,22170,237311,50.9,15.7,23.8,6.5,19.2,high
California,West,37253956,"39,538,223",increasing,30.7,81.2,55.3,12542460,13900766,155779.22,43.7,27.2,61094,29527,1893539,50.3,12.9,23.6,6.5,15.9,medium
Colorado,West,5029196,"5,773,714",increasing,37,90.2,65.4,1977591,2276184,103641.89,16.8,24.5,58433,31109,399458,49.8,12.7,23.3,6.3,13.2,medium
Connecticut,Northeast,3574097,"3,605,944",increasing,36.5,89.2,67.8,1355849,1493564,4842.36,21.5,24.8,69461,37892,217947,51.2,15.5,21.6,5.3,10.2,low
Delaware,Northeast,897934,"989,948",increasing,28.9,87.7,72.5,335707,417437,1948.54,12.6,24.8,59878,29819,75081,51.6,16.4,21.8,6,11.7,low
District Of Columbia,Northeast,601723,"689,545",increasing,52.4,88.4,42.1,263649,306174,61.05,15.8,29.7,65830,45290,30520,52.6,11.3,17.5,6.5,18.6,high
Florida,Southeast,18801310,"21,538,187",increasing,26.4,86.1,67.1,7158980,9144250,53624.76,27.4,25.9,46956,26236,1569406,51.1,19.1,20.4,5.5,16.3,medium
Georgia,Southeast,9687653,"10,711,908",increasing,28,84.7,65.1,3518097,4151190,57513.49,13.3,27,49179,25182,690208,51.2,12.4,24.7,6.6,18.2,high
Hawaii,West,1360301,"1,455,271",increasing,30.1,90.4,57.6,449771,530106,6422.63,25.4,26,67402,29305,112625,49.4,16.1,21.7,6.4,11.2,low
Idaho,West,1567582,"1,839,106",increasing,25.1,88.8,69.8,579797,685099,82643.12,10.4,20,46767,22568,122955,49.9,14.3,26.4,7,15.5,medium
Illinois,Midwest,12830632,"12,812,508",decreasing,31.4,87.3,67.5,4772723,5307222,55518.93,22.3,28,56797,29666,727919,50.9,13.9,23.2,6.1,14.1,medium
Indiana,Midwest,6483802,"6,785,528",increasing,23.2,87.2,70,2481793,2829532,35826.11,8.2,23.2,48248,24635,455105,50.7,14.3,24,6.4,15.4,medium
Iowa,Midwest,3046355,"3,190,369",increasing,25.7,91,72.2,1226547,1362124,55857.13,7.2,18.8,51843,27027,226175,50.3,15.8,23.4,6.3,12.4,medium
Kansas,Midwest,2853118,"2,937,880",increasing,30.3,89.8,67.5,1110440,1248813,81758.72,11,19,51332,26929,211113,50.2,14.3,24.9,6.9,13.7,medium
Kentucky,Southeast,4339367,"4,505,836",increasing,21.5,83,68.4,1694996,1950382,39486.34,5,22.8,43036,23462,312365,50.8,14.8,22.9,6.3,18.8,high
Louisiana,Southeast,4533372,"4,657,757",increasing,21.8,82.6,67,1707852,2010868,43203.9,8.7,24.9,44874,24442,304271,51.1,13.6,23.9,6.6,19.1,high
Maine,Northeast,1328361,"1,362,359",increasing,27.9,91.1,71.8,553823,727632,30842.92,6.8,23.3,48453,26824,126842,51,18.3,19.5,4.9,13.6,medium
Maryland,Northeast,5773552,"6,177,224",increasing,36.8,88.7,67.6,2146240,2422194,9707.24,16.7,32,73538,36354,427068,51.5,13.8,22.6,6.2,9.8,low
Massachusetts,Northeast,6547629,"7,029,917",increasing,39.4,89.4,62.7,2530147,2828492,7800.06,21.9,28,66866,35763,383087,51.5,15.1,20.6,5.4,11.4,low
Michigan,Midwest,9883640,"10,077,331",increasing,25.9,88.9,72.1,3823280,4539871,56538.9,9.1,24,48411,25681,672213,50.9,15.4,22.4,5.8,16.8,medium
Minnesota,Midwest,5303925,"5,706,494",increasing,32.6,92.1,72.5,2107232,2385544,79626.74,10.7,22.9,59836,30913,366990,50.3,14.3,23.5,6.4,11.5,low
Mississippi,Southeast,2967297,"2,961,279",decreasing,20.1,81.5,69.4,1088073,1294721,46923.27,3.9,23.9,39031,20618,200748,51.4,14.3,24.4,6.5,22.7,high
Missouri,Midwest,5988927,"6,154,913",increasing,26.2,87.6,68.4,2360131,2735742,68741.52,6.1,23.1,47380,25649,479828,50.9,15.4,23,6.2,15.5,medium
Montana,West,989415,"1,084,225",increasing,28.7,92.1,68.3,405525,491531,145545.8,4.4,18,46230,25373,94404,49.8,16.7,22,6,15.2,medium
Nebraska,Midwest,1826341,"1,961,504",increasing,28.5,90.5,67,725787,814970,76824.17,10.5,18.1,51672,26899,142176,50.2,14.4,24.8,6.9,12.8,medium
Nevada,West,2700551,"3,104,614",increasing,22.4,84.6,56.7,999016,1198907,109781.18,29.3,23.8,52800,26589,226555,49.7,14.2,23.4,6.2,15,medium
New Hampshire,Northeast,1316470,"1,377,529",increasing,33.7,91.8,71.4,518245,619856,8952.65,8,26.3,64916,33134,112790,50.6,15.9,20.1,4.9,8.7,low
New Jersey,Northeast,8791894,"9,288,994",increasing,35.8,88.1,65.6,3186418,3591588,7354.22,30,30.4,71629,36027,437652,51.2,14.7,22.5,6,10.4,low
New Mexico,Southwest,2059179,"2,117,522",increasing,25.8,83.6,68.7,761938,912890,121298.15,36.1,21.6,44927,23763,172717,50.5,15.3,24.1,6.6,20.4,high
New York,Northeast,19378102,"20,201,249",increasing,33.2,85.2,54.2,7234743,8191040,47126.4,29.9,31.6,58003,32382,912499,51.5,14.7,21.4,6,15.3,medium
North Carolina,Southeast,9535483,"10,439,388",increasing,27.3,84.9,66.4,3715565,4452334,48617.91,10.9,23.6,46334,25284,724295,51.3,14.7,23,6.1,17.5,medium
North Dakota,Midwest,672591,"779,094",increasing,27.2,90.9,66.1,287270,350560,69000.8,5.3,16.9,53741,29732,53157,48.7,14.2,22.8,6.9,11.9,low
Ohio,Midwest,11536504,"11,799,448",increasing,25.2,88.5,67.5,4557655,5146933,40860.69,6.6,23,48308,26046,864923,51.1,15.5,22.8,6,15.8,medium
Oklahoma,Southwest,3751351,"3,959,353",increasing,23.5,86.4,67.1,1444081,1699438,68594.92,9.4,21,45339,24208,312492,50.5,14.5,24.6,6.8,16.9,medium
Oregon,West,3831074,"4,237,256",increasing,29.7,89.4,62,1516456,1700549,95988.01,14.8,22.5,50229,26809,323205,50.5,16,21.6,5.8,16.2,medium
Pennsylvania,Northeast,12702379,"13,002,700",increasing,27.5,88.7,69.8,4958427,5590373,44742.7,10.3,25.9,52548,28502,943417,51.1,16.7,21.1,5.6,13.3,medium
Rhode Island,Northeast,1052567,"1,097,379",increasing,31.3,85.2,61.2,410058,462625,1033.81,21.1,23.6,56361,30469,70621,51.5,15.7,20.2,5.2,13.6,medium
South Carolina,Southeast,4625364,"5,118,425",increasing,25.1,84.5,69.1,1780251,2188129,30060.7,6.8,23.5,44779,23943,391660,51.4,15.8,22.4,6,18.1,high
South Dakota,Midwest,814180,"886,667",increasing,26.2,90.4,68,323136,376319,75811,6.8,16.9,49495,25740,67886,49.7,15.3,24.7,7.1,14.1,medium
Tennessee,Southeast,6346105,"6,910,840",increasing,23.8,84.4,67.8,2475195,2869323,41234.9,6.6,24.3,44298,24409,484901,51.3,15.1,22.8,6.1,17.6,medium
Texas,Southwest,25145561,"29,145,505",increasing,26.7,81.2,63.3,8886471,10426080,261231.71,34.7,25,51900,26019,1583272,50.4,11.5,26.4,7.3,17.6,medium
Utah,West,2763885,"3,271,616",increasing,30.3,90.9,70.1,886770,1022537,82169.62,14.3,21.4,58821,23873,143771,49.7,10,30.7,8.6,12.7,medium
Vermont,Northeast,625741,"643,077",increasing,34.8,91.4,71,257004,325789,9216.66,5.2,22.2,54267,29167,48456,50.7,16.9,19.4,4.9,11.8,low
Virginia,Southeast,8001024,"8,631,393",increasing,35.2,87.5,67.3,3022739,3446471,39490.09,14.9,27.7,63907,33493,726470,50.8,13.8,22.4,6.2,11.3,low
Washington,West,6724540,"7,705,281",increasing,31.9,90,63.2,2629126,2963141,66455.52,18.5,25.7,59478,30742,582265,50,14.1,22.7,6.3,13.4,medium
West Virginia,Southeast,1852994,"1,793,716",decreasing,18.3,83.9,73.4,741390,884605,24038.21,2.4,25.5,41043,22966,159448,50.6,17.8,20.5,5.5,17.9,medium
Wisconsin,Midwest,5686986,"5,893,718",increasing,26.8,90.4,68.1,2288332,2648317,54157.8,8.6,21.7,52413,27523,408870,50.3,15.2,22.6,5.9,13,medium
Wyoming,West,563626,"576,851",increasing,24.7,92.4,70.1,222846,268222,97093.14,6.8,18.3,57406,28902,50852,49,14,23.7,6.5,11.5,low
