Occupation,Occupation Type,Total Employed (Number in Thousands),Percentage of Non-White Employees,Percentage of Female Employees,Typical Entry level Educational Requirement,Annual Median Wage,Weekly Median Wage,Female Weekly Median Wage
Chief executives,Management occupations,1602,11.2,27.6,Bachelor's degree,184460,2380,2019
General and operations managers,Management occupations,1058,13.6,30.6,Bachelor's degree,100780,1384,1153
Marketing and sales managers,Management occupations,1184,13.9,48.5,Bachelor's degree,131745,1600,1393
Public relations and fundraising managers,Management occupations,73,10.2,71.4,Bachelor's degree,116180,1416,1399
Administrative services managers,Management occupations,184,16.1,42,Bachelor's degree,96940,1235,1084
Computer and information systems managers,Management occupations,654,27.3,28.7,Bachelor's degree,146360,1984,1892
Financial managers,Management occupations,1194,19.8,53.5,Bachelor's degree,129890,1447,1207
Human resources managers,Management occupations,321,22.2,74.7,Bachelor's degree,116720,1592,1538
Industrial production managers,Management occupations,274,12.8,22.4,Bachelor's degree,105480,1472,1497
Purchasing managers,Management occupations,227,24.9,42.8,Bachelor's degree,121110,1539,1390
Construction managers,Management occupations,994,9.1,10,Bachelor's degree,95260,1468,1210
Education administrators,Management occupations,958,21.4,67.7,Master's degree,81368,1371,1335
Food service managers,Management occupations,1249,23.7,46.5,High school diploma or equivalent,55320,863,719
Lodging managers,Management occupations,162,19.1,49.5,High school diploma or equivalent,54430,975,894
Medical and health services managers,Management occupations,677,21,69.7,Bachelor's degree,100980,1478,1362
"Property, real estate, and community association managers",Management occupations,780,16.4,47.3,High school diploma or equivalent,58760,954,849
Social and community service managers,Management occupations,470,20.1,68.2,Bachelor's degree,67150,1243,1156
Compliance officers,Business and financial operations occupations,298,19.3,59.5,Bachelor's degree,69050,1346,1264
Human resources workers,Business and financial operations occupations,770,24.3,73.5,Bachelor's degree,61920,1203,1149
Training and development specialists,Business and financial operations occupations,125,22.7,52.5,Bachelor's degree,61210,1127,968
Management analysts,Business and financial operations occupations,950,23.9,42.1,Bachelor's degree,85260,1622,1517
"Meeting, convention, and event planners",Business and financial operations occupations,146,18,78.7,Bachelor's degree,50600,1023,1018
Fundraisers,Business and financial operations occupations,93,10.7,67.2,Bachelor's degree,57970,1330,1229
Market research analysts and marketing specialists,Business and financial operations occupations,369,19.4,56.6,Bachelor's degree,63790,1363,1228
Accountants and auditors,Business and financial operations occupations,1964,22.9,61.7,Bachelor's degree,71550,1221,1141
Personal financial advisors,Business and financial operations occupations,551,17.8,32.1,Bachelor's degree,87850,1618,1232
Insurance underwriters,Business and financial operations occupations,105,13,51.1,Bachelor's degree,70020,1169,1142
Computer systems analysts,Computer and mathematical occupations,663,32.2,40.1,Bachelor's degree,90920,1461,1289
Computer programmers,Computer and mathematical occupations,454,32.2,20.3,Bachelor's degree,86550,1586,1463
