country,codeiso,yearstart,sex,maritialstatus,agegroup,agestart,ageend,datavalue
France,250,1970,Men,Currently married,[10-14],10,14,0
France,250,1970,Men,Currently married,[15-19],15,19,0.8
France,250,1970,Men,Currently married,[20-24],20,24,30.9
France,250,1970,Men,Currently married,[25-29],25,29,70.9
France,250,1970,Men,Currently married,[30-34],30,34,80
France,250,1970,Men,Currently married,[35-39],35,39,83.1
France,250,1970,Men,Currently married,[40-44],40,44,84.3
France,250,1970,Men,Currently married,[45-49],45,49,85.2
France,250,1970,Men,Currently married,[50-54],50,54,85.3
France,250,1970,Men,Currently married,[55-59],55,59,83.6
France,250,1970,Men,Currently married,[60-64],60,64,81.5
France,250,1970,Men,Currently married,[65-69],65,69,78.8
France,250,1970,Men,Currently married,[70-74],70,74,74.4
France,250,1970,Men,Currently married,[75+],75,999,59.6
France,250,1970,Women,Currently married,[10-14],10,14,0
France,250,1970,Women,Currently married,[15-19],15,19,6.2
France,250,1970,Women,Currently married,[20-24],20,24,53.3
France,250,1970,Women,Currently married,[25-29],25,29,81.5
France,250,1970,Women,Currently married,[30-34],30,34,86.4
France,250,1970,Women,Currently married,[35-39],35,39,86.5
France,250,1970,Women,Currently married,[40-44],40,44,84.8
France,250,1970,Women,Currently married,[45-49],45,49,81.6
France,250,1970,Women,Currently married,[50-54],50,54,76.5
France,250,1970,Women,Currently married,[55-59],55,59,70.4
France,250,1970,Women,Currently married,[60-64],60,64,61.7
France,250,1970,Women,Currently married,[65-69],65,69,50.2
France,250,1970,Women,Currently married,[70-74],70,74,36.8
France,250,1970,Women,Currently married,[75+],75,999,16.6
France,250,1971,Men,Currently married,[10-14],10,14,0
France,250,1971,Men,Currently married,[15-19],15,19,0.8
France,250,1971,Men,Currently married,[20-24],20,24,32.4
France,250,1971,Men,Currently married,[25-29],25,29,71.8
France,250,1971,Men,Currently married,[30-34],30,34,80.5
France,250,1971,Men,Currently married,[35-39],35,39,83.2
France,250,1971,Men,Currently married,[40-44],40,44,84.3
France,250,1971,Men,Currently married,[45-49],45,49,85
France,250,1971,Men,Currently married,[50-54],50,54,85.6
France,250,1971,Men,Currently married,[55-59],55,59,83.8
France,250,1971,Men,Currently married,[60-64],60,64,81.6
France,250,1971,Men,Currently married,[65-69],65,69,78.9
France,250,1971,Men,Currently married,[70-74],70,74,74.4
France,250,1971,Men,Currently married,[75+],75,999,59.9
France,250,1971,Women,Currently married,[10-14],10,14,0
France,250,1971,Women,Currently married,[15-19],15,19,6.1
France,250,1971,Women,Currently married,[20-24],20,24,54.1
France,250,1971,Women,Currently married,[25-29],25,29,81.4
France,250,1971,Women,Currently married,[30-34],30,34,86.5
France,250,1971,Women,Currently married,[35-39],35,39,86.7
France,250,1971,Women,Currently married,[40-44],40,44,84.9
France,250,1971,Women,Currently married,[45-49],45,49,81.9
France,250,1971,Women,Currently married,[50-54],50,54,77.3
France,250,1971,Women,Currently married,[55-59],55,59,70.5
France,250,1971,Women,Currently married,[60-64],60,64,62.1
France,250,1971,Women,Currently married,[65-69],65,69,50.6
France,250,1971,Women,Currently married,[70-74],70,74,37.2
France,250,1971,Women,Currently married,[75+],75,999,16.8
France,250,1972,Men,Currently married,[10-14],10,14,0
France,250,1972,Men,Currently married,[15-19],15,19,0.8
France,250,1972,Men,Currently married,[20-24],20,24,32.9
France,250,1972,Men,Currently married,[25-29],25,29,72.2
France,250,1972,Men,Currently married,[30-34],30,34,81
France,250,1972,Men,Currently married,[35-39],35,39,83.3
France,250,1972,Men,Currently married,[40-44],40,44,84.3
France,250,1972,Men,Currently married,[45-49],45,49,84.8
France,250,1972,Men,Currently married,[50-54],50,54,85.6
France,250,1972,Men,Currently married,[55-59],55,59,84.1
France,250,1972,Men,Currently married,[60-64],60,64,81.8
France,250,1972,Men,Currently married,[65-69],65,69,78.9
France,250,1972,Men,Currently married,[70-74],70,74,74.5
France,250,1972,Men,Currently married,[75+],75,999,60.4
France,250,1972,Women,Currently married,[10-14],10,14,0
France,250,1972,Women,Currently married,[15-19],15,19,6.4
France,250,1972,Women,Currently married,[20-24],20,24,54.3
France,250,1972,Women,Currently married,[25-29],25,29,81.2
France,250,1972,Women,Currently married,[30-34],30,34,86.5
France,250,1972,Women,Currently married,[35-39],35,39,86.8
France,250,1972,Women,Currently married,[40-44],40,44,85
France,250,1972,Women,Currently married,[45-49],45,49,82
France,250,1972,Women,Currently married,[50-54],50,54,77.7
France,250,1972,Women,Currently married,[55-59],55,59,70.4
France,250,1972,Women,Currently married,[60-64],60,64,62.5
France,250,1972,Women,Currently married,[65-69],65,69,51.1
France,250,1972,Women,Currently married,[70-74],70,74,37.7
France,250,1972,Women,Currently married,[75+],75,999,17.1
France,250,1973,Men,Currently married,[10-14],10,14,0
France,250,1973,Men,Currently married,[15-19],15,19,0.9
France,250,1973,Men,Currently married,[20-24],20,24,33.2
France,250,1973,Men,Currently married,[25-29],25,29,72.5
France,250,1973,Men,Currently married,[30-34],30,34,81.7
France,250,1973,Men,Currently married,[35-39],35,39,83.5
France,250,1973,Men,Currently married,[40-44],40,44,84.3
France,250,1973,Men,Currently married,[45-49],45,49,84.8
France,250,1973,Men,Currently married,[50-54],50,54,85.6
France,250,1973,Men,Currently married,[55-59],55,59,84.4
France,250,1973,Men,Currently married,[60-64],60,64,82.1
France,250,1973,Men,Currently married,[65-69],65,69,79.1
France,250,1973,Men,Currently married,[70-74],70,74,74.5
France,250,1973,Men,Currently married,[75+],75,999,60.7
France,250,1973,Women,Currently married,[10-14],10,14,0
France,250,1973,Women,Currently married,[15-19],15,19,6.7
France,250,1973,Women,Currently married,[20-24],20,24,54.5
France,250,1973,Women,Currently married,[25-29],25,29,80.9
France,250,1973,Women,Currently married,[30-34],30,34,86.4
France,250,1973,Women,Currently married,[35-39],35,39,86.8
France,250,1973,Women,Currently married,[40-44],40,44,85.1
France,250,1973,Women,Currently married,[45-49],45,49,82
France,250,1973,Women,Currently married,[50-54],50,54,78
France,250,1973,Women,Currently married,[55-59],55,59,70.5
France,250,1973,Women,Currently married,[60-64],60,64,62.8
France,250,1973,Women,Currently married,[65-69],65,69,51.6
France,250,1973,Women,Currently married,[70-74],70,74,38.1
France,250,1973,Women,Currently married,[75+],75,999,17.4
France,250,1974,Men,Currently married,[10-14],10,14,0
France,250,1974,Men,Currently married,[15-19],15,19,1
France,250,1974,Men,Currently married,[20-24],20,24,33.2
