country,codeiso,yearstart,yearend,sex,maritialstatus,agegroup,agestart,ageend,datavalue
India,356,1971,1971,Men,Currently married,[10-14],10,14,1.3
India,356,1971,1971,Men,Currently married,[15-19],15,19,17.4
India,356,1971,1971,Men,Currently married,[20-24],20,24,48.8
India,356,1971,1971,Men,Currently married,[25-29],25,29,79.5
India,356,1971,1971,Men,Currently married,[30-34],30,34,90.2
India,356,1971,1971,Men,Currently married,[35-39],35,39,92.8
India,356,1971,1971,Men,Currently married,[40-44],40,44,91.5
India,356,1971,1971,Men,Currently married,[45-49],45,49,90.8
India,356,1971,1971,Men,Currently married,[50-54],50,54,87.1
India,356,1971,1971,Men,Currently married,[55-59],55,59,85.2
India,356,1971,1971,Men,Currently married,[60-64],60,64,79.5
India,356,1971,1971,Men,Currently married,[65-69],65,69,76.8
India,356,1971,1971,Men,Currently married,[70+],70,999,67
India,356,1971,1971,Women,Currently married,[10-14],10,14,3.4
India,356,1971,1971,Women,Currently married,[15-19],15,19,56.3
India,356,1971,1971,Women,Currently married,[20-24],20,24,89.4
India,356,1971,1971,Women,Currently married,[25-29],25,29,95.6
India,356,1971,1971,Women,Currently married,[30-34],30,34,94.5
India,356,1971,1971,Women,Currently married,[35-39],35,39,91.8
India,356,1971,1971,Women,Currently married,[40-44],40,44,84.6
India,356,1971,1971,Women,Currently married,[45-49],45,49,78.5
India,356,1971,1971,Women,Currently married,[50-54],50,54,62.5
India,356,1971,1971,Women,Currently married,[55-59],55,59,58.1
India,356,1971,1971,Women,Currently married,[60-64],60,64,36.7
India,356,1971,1971,Women,Currently married,[65-69],65,69,34.7
India,356,1971,1971,Women,Currently married,[70+],70,999,19.6
India,356,1981,1981,Men,Currently married,[10-14],10,14,4
India,356,1981,1981,Men,Currently married,[15-19],15,19,12.3
India,356,1981,1981,Men,Currently married,[20-24],20,24,43.2
India,356,1981,1981,Men,Currently married,[25-29],25,29,77.3
India,356,1981,1981,Men,Currently married,[30-34],30,34,91.1
India,356,1981,1981,Men,Currently married,[35-39],35,39,94.2
India,356,1981,1981,Men,Currently married,[40-44],40,44,93.5
India,356,1981,1981,Men,Currently married,[45-49],45,49,92.8
India,356,1981,1981,Men,Currently married,[50-54],50,54,90
India,356,1981,1981,Men,Currently married,[55-59],55,59,88.6
India,356,1981,1981,Men,Currently married,[60-64],60,64,83.4
India,356,1981,1981,Men,Currently married,[65-69],65,69,80.4
India,356,1981,1981,Men,Currently married,[70+],70,999,70.5
India,356,1981,1981,Women,Currently married,[10-14],10,14,2.1
India,356,1981,1981,Women,Currently married,[15-19],15,19,43.5
India,356,1981,1981,Women,Currently married,[20-24],20,24,84.5
India,356,1981,1981,Women,Currently married,[25-29],25,29,94.3
India,356,1981,1981,Women,Currently married,[30-34],30,34,94.8
India,356,1981,1981,Women,Currently married,[35-39],35,39,93.2
India,356,1981,1981,Women,Currently married,[40-44],40,44,87.8
India,356,1981,1981,Women,Currently married,[45-49],45,49,82.9
India,356,1981,1981,Women,Currently married,[50-54],50,54,69.2
India,356,1981,1981,Women,Currently married,[55-59],55,59,67.3
India,356,1981,1981,Women,Currently married,[60-64],60,64,43.1
India,356,1981,1981,Women,Currently married,[65-69],65,69,40.6
India,356,1981,1981,Women,Currently married,[70+],70,999,21.7
India,356,1991,1991,Men,Currently married,[10-14],10,14,0.7
India,356,1991,1991,Men,Currently married,[15-19],15,19,9.4
India,356,1991,1991,Men,Currently married,[20-24],20,24,39.6
India,356,1991,1991,Men,Currently married,[25-29],25,29,74.8
India,356,1991,1991,Men,Currently married,[30-34],30,34,90.5
