Activities,avgHoursPerDayCP23_T,avgHoursPerDayCP23_M,avgHoursPerDayCP23_W,avgPercEngActPerDay23_T,avgPercEngActPerDay23_M,avgPercEngActPerDay23_W,avgHrsPeDayEngAct23_T,avgHrsPeDayEngAct23_M,avgHrsPeDayEngAct23_W,avgHoursPerDayCP13_T,avgHoursPerDayCP13_M,avgHoursPerDayCP13_W,avgPercEngActPerDay13_T,avgPercEngActPerDay13_M,avgPercEngActPerDay13_W,avgHrsPeDayEngAct13_T,avgHrsPeDayEngAct13_M,avgHrsPeDayEngAct13_W
"Total, all activities(1)",24,24,24,-,-,-,-,-,-,24,24,24,100,100,100,-,-,-
Personal care activities,9.84,9.59,10.07,99.9,100,99.9,9.85,9.59,10.09,9.54,9.31,9.76,100,99.9,100,9.55,9.31,9.76
Sleeping(2),9.07,8.97,9.17,99.9,99.9,99.8,9.08,8.97,9.19,8.74,8.65,8.82,99.9,99.9,99.9,8.75,8.66,8.82
Eating and drinking,1.2,1.22,1.18,95.6,95.8,95.4,1.25,1.27,1.24,1.23,1.26,1.2,96.4,96.5,96.2,1.27,1.31,1.24
Household activities,1.92,1.49,2.32,78.6,70.7,86.2,2.44,2.11,2.69,1.78,1.34,2.19,74.5,65.1,83.4,2.39,2.06,2.63
Housework,0.61,0.32,0.89,35.6,22.3,48.3,1.72,1.43,1.85,0.57,0.25,0.87,34.4,19.4,48.5,1.67,1.3,1.8
Food preparation and cleanup,0.65,0.43,0.85,61.2,50.9,71.1,1.05,0.84,1.2,0.57,0.33,0.8,55.3,41.7,68.1,1.03,0.8,1.17
Lawn and garden care,0.17,0.22,0.11,8.9,10.1,7.8,1.87,2.18,1.47,0.18,0.25,0.12,9.3,11.3,7.4,1.98,2.26,1.6
Household management,0.13,0.11,0.16,16,12.7,19.2,0.83,0.85,0.81,0.13,0.1,0.16,17.2,14.2,20.1,0.75,0.73,0.77
Purchasing goods and services,0.66,0.55,0.76,39.7,36.4,42.8,1.66,1.5,1.79,0.75,0.63,0.86,42.9,38.7,46.8,1.74,1.62,1.83
