Name,Region,Economic Development,GDP per Capita (USD),Total Municipal Solid Waste per Year (tons),Population,Hazardous Waste per Year (tons),Has national agency for enforcing solid waste laws,Has national law governing solid waste management,MSW per Capita (tons/people),Hazardous Waste per Capita (tons/people),Percent Urban,Urbanization Rate,Human Development Index,Adult Obesity Rate by BMI
Afghanistan,South Asia,Developing,2057,5628525,34656032,14119000,Yes,Yes,0.1624,0.4074,26,Growing Rapidly,0.511,5.5
Angola,Sub-Saharan Africa,In Transition,8037,4213644,25096150,270000,Yes,Yes,0.1679,0.0108,67,Growing Rapidly,0.581,8.2
Albania,Europe and Central Asia,In Transition,13724,1087447,2854191,5715,Yes,Yes,0.381,0.002,62,Growing,0.795,21.7
Andorra,Europe and Central Asia,Developed,43712,43000,82431,1788,Yes,Yes,0.5216,0.0217,88,Decreasing,0.868,25.6
United Arab Emirates,Middle East and North Africa,Developed,67119,5617682,9770529,57525,Yes,Yes,0.575,0.0059,87,Growing,0.89,31.7
Argentina,Latin America and Caribbean,Developed,23550,17910550,42981516,310044,No,Yes,0.4167,0.0072,92,Growing,0.845,28.3
Armenia,Europe and Central Asia,In Transition,11020,492800,2906220,62270,No,Yes,0.1696,0.0214,63,Growing,0.776,20.2
Antigua and Barbuda,Latin America and Caribbean,Developed,17966,30585,96777,7000,Yes,Yes,0.316,0.0723,24,Growing,0.778,18.9
Australia,East Asia and Pacific,Developed,47784,13345000,23789338,7000000,Yes,Yes,0.561,0.2942,86,Growing,0.944,29
Austria,Europe and Central Asia,Developed,56030,5219716,8877067,1272288,Yes,Yes,0.588,0.1433,59,Growing,0.922,20.1
Azerbaijan,Europe and Central Asia,In Transition,14854,2930349,9649341,296979,Yes,Yes,0.3037,0.0308,56,Growing,0.756,19.9
Belgium,Europe and Central Asia,Developed,51915,4765883,11484055,2946195,Yes,Yes,0.415,0.2565,98,Growing,0.931,22.1
Burkina Faso,Sub-Saharan Africa,Developing,1925,2575251,18110624,7871,No,Yes,0.1422,0.0004,31,Growing Rapidly,0.452,5.6
Bangladesh,South Asia,In Transition,3196,14778497,155727056,114358,Yes,Yes,0.0949,0.0007,38,Growing Rapidly,0.632,3.6
Bulgaria,Europe and Central Asia,In Transition,22279,2859190,7025037,12206169,Yes,Yes,0.407,1.7375,76,Decreasing,0.816,25
Bahrain,Middle East and North Africa,Developed,47938,951943,1425171,31000,Yes,Yes,0.668,0.0218,90,Growing Rapidly,0.852,29.8
The Bahamas,Latin America and Caribbean,Developed,35400,264000,386838,31000,Yes,No,0.6825,0.0801,83,Growing,0.777,31.6
Bosnia and Herzegovina,Europe and Central Asia,In Transition,12671,1248718,3535961,8408,No,No,0.3531,0.0024,49,Growing,0.78,17.9
Belarus,Europe and Central Asia,In Transition,18308,4280000,9489616,1336926,Yes,Yes,0.451,0.1409,79,Growing,0.823,24.5
Belize,Latin America and Caribbean,In Transition,7259,101379,359288,1000,Yes,Yes,0.2822,0.0028,46,Growing Rapidly,0.716,24.1
Bermuda,North America,Developed,80982,82000,64798,525,Yes,Yes,1.2655,0.0081,100,Decreasing,0.545,40.2
