FIPS County Code,County,State,percent <good health,Avg # Physically Unhealthy Days,Avg # of Mentally Unhealthy Days,% Smokers,% Excessive Drinking,% Adults with Obesity,% Physically Inactive,% Uninsured,% Completed High School,% Some College,% Unemployed,% Children in Poverty,80th Percentile Income,20th Percentile Income,Income Inequality Ratio,% Children in Single-Parent Households,Presence of Water Violation,% Severe Housing Problems,% Long Commute - Drives Alone
45001,Abbeville,South Carolina,21.79,4.76,5.44,22.62,16.71,36.7,27.6,13.91,81.65,54.56,3.37,21.6,76389,14101,5.42,30,TRUE,14,46
22001,Acadia,Louisiana,25.47,4.98,5.62,27.43,19.01,40.7,31.7,9.76,78.95,45.90,5.32,26.5,97084,16444,5.90,29,TRUE,13,38
51001,Accomack,Virginia,23.95,4.79,4.90,23.36,17.76,37.4,32.8,16.99,81.45,45.08,3.54,28.5,89509,22169,4.04,40,FALSE,13,31
16001,Ada,Idaho,13.06,3.40,4.07,15.12,19.98,25.0,15.3,9.46,95.16,73.61,2.51,9.6,123929,28893,4.29,19,TRUE,13,20
19001,Adair,Iowa,13.95,3.30,3.62,20.40,25.45,28.7,24.5,5.24,94.21,61.42,2.36,12.9,100476,24023,4.18,17,FALSE,8,34
21001,Adair,Kentucky,27.41,5.75,5.78,27.03,14.55,40.1,34.2,7.83,79.57,47.43,5.32,29.8,75926,16365,4.64,19,FALSE,12,31
29001,Adair,Missouri,21.08,4.71,4.92,22.07,18.05,29.0,29.2,12.85,90.12,66.04,3.87,18.9,90330,14049,6.43,24,TRUE,18,16
40001,Adair,Oklahoma,33.44,6.82,6.25,32.06,12.96,43.2,22.0,22.82,80.76,33.84,4.16,33.2,73909,14506,5.10,31,FALSE,16,38
08001,Adams,Colorado,18.13,3.89,4.01,18.39,19.91,28.6,18.6,10.56,83.78,57.51,2.93,12.1,125794,34026,3.70,22,TRUE,18,47
17001,Adams,Illinois,16.85,4.14,4.46,20.54,21.57,37.9,29.0,5.55,92.52,66.49,3.43,18.3,101188,25082,4.03,22,TRUE,12,16
18001,Adams,Indiana,20.98,4.61,5.01,26.08,17.36,36.1,30.5,11.99,84.71,51.94,2.72,21.3,94882,23995,3.95,14,FALSE,18,25
28001,Adams,Mississippi,31.19,5.46,5.22,25.14,12.92,38.1,29.2,16.52,77.86,46.30,7.05,40.8,67260,11216,6.00,58,FALSE,14,16
31001,Adams,Nebraska,14.86,3.52,3.86,17.31,23.11,37.3,26.8,9.02,90.01,69.72,3.16,12.9,103278,24017,4.30,20,TRUE,12,15
39001,Adams,Ohio,25.16,5.61,5.81,30.32,15.51,35.7,37.8,9.84,80.18,43.11,6.84,29.5,86922,16767,5.18,32,FALSE,16,48
42001,Adams,Pennsylvania,16.75,4.08,4.76,19.79,21.12,31.2,22.5,7.06,88.84,58.70,3.29,10.2,116559,31237,3.73,16,TRUE,11,40
53001,Adams,Washington,28.66,5.64,4.74,16.82,15.18,35.3,22.8,13.37,66.95,32.40,5.65,22.4,92867,22009,4.22,27,FALSE,23,22
55001,Adams,Wisconsin,19.15,4.38,4.48,23.37,25.61,32.4,25.8,8.52,87.50,48.19,5.15,18.2,86203,21547,4.00,19,FALSE,14,41
50001,Addison,Vermont,12.00,3.39,4.32,14.22,21.63,25.6,19.6,4.73,93.49,68.67,2.31,9.3,122697,31991,3.84,14,FALSE,15,39
45003,Aiken,South Carolina,19.07,4.09,4.73,19.06,18.71,36.4,28.2,12.60,87.97,55.57,2.90,19.3,101395,22073,4.59,31,FALSE,13,37
27001,Aitkin,Minnesota,15.78,3.81,4.04,22.17,21.97,30.0,26.9,7.20,91.24,61.97,6.19,19.7,90917,22268,4.08,29,FALSE,15,36
12001,Alachua,Florida,18.05,4.16,4.85,17.88,21.09,27.2,23.4,11.56,92.61,76.00,2.95,17.7,107910,17506,6.16,30,TRUE,21,26
